City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ambon,-3.6954,128.1814,298.28,15,40,1.54,ID,1677882770
84,melfi,40.9965,15.6514,278.98,99,100,2.71,IT,1677882771
85,tsaratanana,-16.7833,47.65,296.03,93,100,1.22,MG,1677882774
86,tommot,58.9564,126.2925,273.98,83,100,6.0,RU,1677882776
87,sinnamary,5.3833,-52.95,298.1,87,44,6.52,GF,1677882779
88,arraial do cabo,-22.9661,-42.0278,299.07,83,20,5.66,BR,1677882780
89,kieta,-6.2167,155.6333,297.93,94,100,1.31,PG,1677882781
90,mongar,27.2747,91.2396,282.37,77,10,2.0,BT,1677882782
91,dzhebariki-khaya,62.2167,135.8,248.63,83,100,1.17,RU,1677882784
92,kiboga,0.9161,31.7742,289.95,95,19,1.07,UG,1677882785
93,lethem,3.3803,-59.7968,300.35,69,49,5.76,GY,1677882786
94,aklavik,68.2191,-135.0107,246.2,91,46,2.01,CA,1677882789
95,chapais,49.7834,-74.8492,265.03,91,15,1.49,CA,1677882790
96,tarrega,41.647,1.1396,281.01,86,9,1.37,ES,1677882791
97,nikolskoye,59.7035,30.7861,270.09,97,92,2.4,RU,1677882794
98,torbay,47.6666,-52.7314,270.14,80,40,6.71,CA,1677882795
99,vuktyl,63.8567,57.3094,256.65,98,99,2.15,RU,1677882796
100,carmelo,-33.9892,-58.2856,301.57,45,79,2.95,UY,1677882797
101,lebanon,36.2081,-86.2911,290.27,59,100,10.29,US,1677882798
102,newport,51.5877,-2.9984,277.97,77,100,3.57,GB,1677882569
103,lebu,-37.6167,-73.65,288.15,86,7,8.59,CL,1677882801
104,parabel,58.6978,81.4825,263.55,91,97,6.07,RU,1677882802
105,havre,49.5833,0.3333,276.59,87,0,3.09,FR,1677882604
106,pacific grove,36.6177,-121.9166,288.36,75,0,4.63,US,1677882805
107,yumen,40.2833,97.2,276.26,19,0,3.81,CN,1677882806
108,coahuayana,18.7333,-103.6833,300.56,57,6,3.35,MX,1677882808
109,hilo,19.7297,-155.09,296.08,87,100,2.06,US,1677882809
110,tura,25.5198,90.2201,291.69,39,0,1.12,IN,1677882811
111,provideniya,64.3833,-173.3,250.46,96,96,3.56,RU,1677882812
112,inuvik,68.3499,-133.7218,244.63,72,40,1.54,CA,1677882813
113,nara,34.6851,135.8049,278.59,55,92,0.34,JP,1677882814
114,kapaa,22.0752,-159.319,299.33,80,75,8.75,US,1677882815
115,farafangana,-22.8167,47.8333,296.34,93,100,2.69,MG,1677882816
116,vila velha,-20.3297,-40.2925,300.12,83,20,6.17,BR,1677882818
117,dingle,10.9995,122.6711,295.74,92,97,3.81,PH,1677882819
118,roald,62.5833,6.1333,275.79,86,100,7.2,NO,1677882820
119,pacanga,-7.1667,-79.5,300.24,61,86,4.62,PE,1677882821
120,coos bay,43.3665,-124.2179,281.56,89,100,5.66,US,1677882823
121,boguchany,58.3814,97.4531,268.41,97,100,0.99,RU,1677882824
122,luba,3.4568,8.5547,299.09,83,73,2.88,GQ,1677882825
123,airai,-8.9266,125.4092,290.16,87,81,1.21,TL,1677882826
124,katsuura,35.1333,140.3,283.64,66,83,4.33,JP,1677882828
125,skjervoy,70.0311,20.9714,263.15,49,98,1.37,NO,1677882832
126,antalaha,-14.9003,50.2788,296.86,95,100,1.59,MG,1677882833
127,antofagasta,-23.65,-70.4,295.75,81,25,2.68,CL,1677882834
128,agirish,61.9247,63.0231,250.23,96,90,2.05,RU,1677882835
129,thompson,55.7435,-97.8558,266.24,79,100,2.06,CA,1677882836
130,katobu,-4.9408,122.5276,297.74,89,94,0.66,ID,1677882841
131,rawson,-43.3002,-65.1023,289.74,42,57,3.99,AR,1677882842
132,butaritari,3.0707,172.7902,300.79,81,100,6.37,KI,1677882843
133,sendafa,9.15,39.0333,286.79,82,100,2.13,ET,1677882844
134,palmer,42.1584,-72.3287,279.9,93,100,1.64,US,1677882846
135,acapulco,16.8634,-99.8901,302.05,61,40,2.57,MX,1677882847
